topology,run,phase,algo,u,v,cap_uniform,cap_before_stress,cap_after_stress,usage_routed,util_routed,usage_shortest_init,usage_routed_init,util_shortest_init,util_routed_init,violated,num_switches,switches,paths,ebc,is_stressed,stress_threshold,cap_change_pct,alpha,beta,link_sens,k_paths,load_sens,controller_sens
AttMpls,0,SM,B1,11,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,12,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,12,14,100600.0,20345.54,20345.54,15488.0,0.7612,15488.0,15488.0,0.7612,0.7612,0,1,"(12, 4)","(12, 4):12->14->10->4",0.06,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,12,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,13,25,100600.0,35803.183,35803.183,23936.0,0.6685,23936.0,0.0,0.6685,0.0,0,1,"(25, 2)","(25, 2):25->13->14->6->8->1->2",0.086667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,13,14,100600.0,65924.974,65924.974,45184.0,0.6854,45184.0,21248.0,0.6854,0.3223,0,2,"(13, 3)|(25, 2)","(13, 3):13->14->10->3 || (25, 2):25->13->14->6->8->1->2",0.086667,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,14,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,14,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,14,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
AttMpls,0,SM,B1,14,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,,0.0,0,0.8,0.0,0.5,0.5,0.0,5,0.0,0.0
